@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[20] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[21] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[22] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[23] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[24] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[25] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[26] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[27] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[28] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[29] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[30] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[31] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: MF179 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":421:11:421:36|Found 11 by 11 bit equality operator ('==') p_W_logic_c\.un22_w_adr_gray (in view: work.FIFO_CDC(architecture_fifo_cdc))
@N: MF179 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":421:41:421:66|Found 11 by 11 bit equality operator ('==') p_W_logic_c\.un24_w_adr_gray (in view: work.FIFO_CDC(architecture_fifo_cdc))
@N: MF179 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":427:11:427:41|Found 11 by 11 bit equality operator ('==') p_W_logic_c\.un25_w_adr_gray (in view: work.FIFO_CDC(architecture_fifo_cdc))
@N: MF179 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":508:23:508:48|Found 11 by 11 bit equality operator ('==') p_R_logic_s\.un8_r_adr_gray (in view: work.FIFO_CDC(architecture_fifo_cdc))
@N: MF179 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":508:53:508:83|Found 11 by 11 bit equality operator ('==') p_R_logic_s\.un10_r_adr_gray (in view: work.FIFO_CDC(architecture_fifo_cdc))
@N: MO231 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\gray_code_counter.vhd":50:8:50:9|Found counter in view:work.Gray_Code_Counter_0(architecture_gray_code_counter) instance bin_cntr[10:0] 
@N: MO231 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\gray_code_counter.vhd":50:8:50:9|Found counter in view:work.Gray_Code_Counter_1(architecture_gray_code_counter) instance bin_cntr[10:0] 
@N: FP130 |Promoting Net RSTn_c on CLKINT  I_229 
@N: FP130 |Promoting Net W_CLK_c on CLKINT  I_230 
@N: FP130 |Promoting Net R_CLK_c on CLKINT  I_231 
@N: BW103 |The default time unit for the Synopsys Constraint File (SDC or FDC) is 1ns.
@N: BW107 |Synopsys Constraint File capacitance units using default value of 1pF 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
